schema_migrations,76,32 kB,3
profiles,1,144 kB,45
contributions,0,144 kB,30
phrase_locks,0,40 kB,6
phrase_skips,0,24 kB,4
phrases,0,48 kB,11
refresh_tokens,0,96 kB,7
users,0,120 kB,17
validations,0,48 kB,10
_season0_reset_done,-1,0 bytes,1
admin_ip_whitelist,-1,24 kB,5
admin_notification_recipients,-1,32 kB,10
admin_notifications,-1,24 kB,15
ai_news_seen,-1,16 kB,2
app_notifications,-1,32 kB,8
audit_log,-1,80 kB,8
broadcast_lists,-1,24 kB,6
community_card_likes,-1,16 kB,3
community_cards,-1,24 kB,15
community_comments,-1,24 kB,9
community_voice_endorsements,-1,16 kB,3
community_voice_likes,-1,16 kB,3
community_votes,-1,8192 bytes,4
competition_config,-1,32 kB,3
contribution_tags,-1,8192 bytes,2
contributor_credits,-1,24 kB,8
credit_consumption,-1,8192 bytes,7
credit_plans,-1,32 kB,10
credit_usage_hourly,-1,16 kB,3
credit_windows,-1,16 kB,4
dataset_export_tokens,-1,40 kB,8
dataset_imports,-1,24 kB,14
disclaimer_acceptances,-1,40 kB,5
email_verifications,-1,48 kB,7
eval_void_batch,-1,24 kB,13
failed_submissions,-1,32 kB,11
flash_tournament_contributions,-1,24 kB,5
flash_tournament_exclusions,-1,24 kB,5
flash_tournament_snapshots,-1,16 kB,5
flash_tournament_validations,-1,32 kB,6
flash_tournaments,-1,24 kB,21
lexicon,-1,16 kB,4
media_honeypot_results,-1,24 kB,6
media_honeypots,-1,16 kB,3
media_ingest_jobs,-1,16 kB,15
media_locks,-1,24 kB,5
media_transcriptions,-1,40 kB,9
otp_codes,-1,48 kB,8
password_resets,-1,24 kB,7
phrase_assignments,-1,32 kB,6
phrase_reports,-1,32 kB,5
point_multipliers,-1,16 kB,9
referrals,-1,16 kB,4
reviews,-1,32 kB,7
schedule_slots,-1,24 kB,11
season0_contributors,-1,32 kB,4
tags,-1,32 kB,6
user_events,-1,64 kB,5
validations_archive,-1,16 kB,12
video_clips,-1,40 kB,22
video_datasets,-1,16 kB,5
votes,-1,32 kB,5
